Comment,Designator,Footprint,LCSC
Seeed Studio XIAO SAMD21,U2,XIAO-ESP32C3-14P-2.54-21X17.8MM,
~,U1,AE-RP2040,
2SC1815,T2,TO92-ECB,
2SC1815,T1,TO92-ECB,
XH-6,STP1,XH-6,
XH-6,STP0,XH-6,
AL60P,SP1,AL60P,
XH-6,SENSOR0,XH-6,
TOGGLE,S4,TOGGLE,
TOGGLE,S3,TOGGLE,
10-XX,S1,B3F-10XX,
R-US_0204/5,R7,0204_5,
220,R6,0204_5,
3.3k,R5,0204_5,
10k,R4,0204_5,
10k,R3,0204_5,
220,R2,0204_5,
3.3k,R1,0204_5,
LED3MM,LED1,LED3MM,
PINHD-1X2/90,JP5,1X02_90,
PINHD-1X2/90,JP4,1X02_90,
PINHD-2X4,JP2,2X04,
PINHD-2X4,JP1,2X04,
PINHD-2X2,GND0,2X02,
0.1u,C3,C025-024X044,
0.1u,C1,C025-024X044,
