Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C025-024X044,171.45,-114.42,0.0,top
C3,0.1u,C025-024X044,177.7552,-94.4792,180.0,top
GND0,PINHD-2X2,2X02,165.608,-72.771,0.0,top
JP1,PINHD-2X4,2X04,133.249,-76.2,90.0,top
JP2,PINHD-2X4,2X04,138.329,-76.2,90.0,top
JP4,PINHD-1X2/90,1X02_90,173.355,-69.1134,0.0,top
JP5,PINHD-1X2/90,1X02_90,110.49,-68.9864,0.0,top
LED1,LED3MM,LED3MM,157.40126,-95.25,0.0,top
R1,3.3k,0204_5,172.72,-120.77,90.0,top
R2,220,0204_5,172.72,-128.39,90.0,top
R3,10k,0204_5,146.05,-80.01,0.0,top
R4,10k,0204_5,146.05,-77.47,0.0,top
R5,3.3k,0204_5,163.83,-93.98,-90.0,top
R6,220,0204_5,163.83,-86.36,-90.0,top
R7,R-US_0204/5,0204_5,147.828,-95.377,180.0,top
S1,10-XX,B3F-10XX,130.81,-134.62,0.0,top
S3,TOGGLE,TOGGLE,181.61,-73.66,-90.0,top
S4,TOGGLE,TOGGLE,119.38,-73.66,-90.0,top
SENSOR0,XH-6,XH-6,152.3,-72.915,0.0,top
SP1,AL60P,AL60P,114.3,-132.08,0.0,top
STP0,XH-6,XH-6,191.245,-94.1,-90.0,top
STP1,XH-6,XH-6,191.245,-115.67,-90.0,top
T1,2SC1815,TO92-ECB,159.512007,-86.36,90.0,top
T2,2SC1815,TO92-ECB,167.132007,-120.77,90.0,top
U1,~,AE-RP2040,116.84,-100.33,0.0,top
U2,Seeed Studio XIAO SAMD21,XIAO-ESP32C3-14P-2.54-21X17.8MM,145.36,-111.36,180.0,top
